 Submission ID ,  Username  ,Problem_Name  ,Language,Verdict,Date
180532988,jahirul,Factorise N+M,GNU C++17,OK,2022-11-12 07:16:57
180452934,jahirul,Swap Game,GNU C++17,OK,2022-11-11 17:05:00
180425070,jahirul,Swap Game,GNU C++17,WRONG_ANSWER,2022-11-11 12:18:57
180424791,jahirul,Swap Game,GNU C++17,WRONG_ANSWER,2022-11-11 12:15:22
180424740,jahirul,Swap Game,GNU C++17,TIME_LIMIT_EXCEEDED,2022-11-11 12:14:39
180424190,jahirul,Swap Game,GNU C++17,WRONG_ANSWER,2022-11-11 12:07:07
180420242,jahirul,BAN BAN,GNU C++17,OK,2022-11-11 11:07:11
180326393,jahirul,BAN BAN,GNU C++17,WRONG_ANSWER,2022-11-10 21:55:46
180267105,jahirul,BAN BAN,GNU C++17,WRONG_ANSWER,2022-11-10 11:50:28
180264086,jahirul,Two Groups,GNU C++17,OK,2022-11-10 10:53:06
173449065,jahirul,Planets,GNU C++17,OK,2022-09-25 20:47:09
173239645,jahirul,Removing Smallest Multiples,GNU C++17,WRONG_ANSWER,2022-09-23 22:30:20
173183705,jahirul,Select Three Sticks,GNU C++17,OK,2022-09-23 18:33:16
173183522,jahirul,Select Three Sticks,GNU C++17,MEMORY_LIMIT_EXCEEDED,2022-09-23 18:32:56
172458177,jahirul,Decode String,GNU C++17,OK,2022-09-17 19:08:07
172163953,jahirul,Jumping on Tiles,GNU C++17,WRONG_ANSWER,2022-09-14 22:07:27
172161433,jahirul,Jumping on Tiles,GNU C++17,WRONG_ANSWER,2022-09-14 21:44:06
172127103,jahirul,Jumping on Tiles,GNU C++17,OK,2022-09-14 16:27:27
171946940,jahirul,Decode String,GNU C++17,OK,2022-09-12 22:58:25
171946636,jahirul,Two Elevators,GNU C++17,OK,2022-09-12 22:57:17
171946534,jahirul,Two Elevators,GNU C++17,TIME_LIMIT_EXCEEDED,2022-09-12 22:56:57
171489193,jahirul,Digital Logarithm,GNU C++17,OK,2022-09-09 15:53:50
171387904,jahirul,Best Permutation,GNU C++17,OK,2022-09-08 21:18:49
171380301,jahirul,Best Permutation,GNU C++17,WRONG_ANSWER,2022-09-08 21:08:17
171358763,jahirul,Colored Balls: Revisited,GNU C++17,OK,2022-09-08 20:45:33
171145579,jahirul,Mainak and Array,GNU C++17,OK,2022-09-06 22:37:43
171134750,jahirul,Mainak and Array,GNU C++17,WRONG_ANSWER,2022-09-06 22:11:17
171124404,jahirul,Mainak and Array,GNU C++17,WRONG_ANSWER,2022-09-06 21:50:08
171119668,jahirul,Mainak and Array,GNU C++17,WRONG_ANSWER,2022-09-06 21:41:35
171112307,jahirul,Mainak and Array,GNU C++17,WRONG_ANSWER,2022-09-06 21:29:36
171109196,jahirul,Mainak and Array,GNU C++17,WRONG_ANSWER,2022-09-06 21:24:51
171101881,jahirul,Mainak and Array,GNU C++17,WRONG_ANSWER,2022-09-06 21:14:49
171101520,jahirul,Mainak and Array,GNU C++17,MEMORY_LIMIT_EXCEEDED,2022-09-06 21:14:19
171098839,jahirul,Mainak and Array,GNU C++17,WRONG_ANSWER,2022-09-06 21:11:02
170953244,jahirul,Garage,GNU C++17,OK,2022-09-05 19:50:24
170852071,jahirul,Basketball Together,GNU C++17,OK,2022-09-04 20:07:24
170849746,jahirul,Basketball Together,GNU C++17,WRONG_ANSWER,2022-09-04 19:56:16
170846670,jahirul,Accumulation of Dominoes,GNU C++17,OK,2022-09-04 19:44:21
170842045,jahirul,Paranoid String,GNU C++17,OK,2022-09-04 19:06:35
170841939,jahirul,Paranoid String,GNU C++17,WRONG_ANSWER,2022-09-04 19:05:21
170749694,jahirul,Paranoid String,GNU C++17,WRONG_ANSWER,2022-09-03 20:14:58
170746088,jahirul,AND Sorting,GNU C++17,OK,2022-09-03 19:40:05
170429771,jahirul,Line,GNU C++17,OK,2022-09-01 04:07:10
170331407,jahirul,Colourblindness,GNU C++17,OK,2022-08-31 06:59:25
170330171,jahirul,Word Game,GNU C++17,OK,2022-08-31 06:23:00
170329495,jahirul,Spell Check,GNU C++17,OK,2022-08-31 06:02:26
170329483,jahirul,Spell Check,GNU C++17,IDLENESS_LIMIT_EXCEEDED,2022-08-31 06:02:08
170329049,jahirul,Spell Check,GNU C++17,WRONG_ANSWER,2022-08-31 05:47:20
169868183,jahirul,Deadly Laser,GNU C++17,OK,2022-08-27 21:52:57
169818138,jahirul,Image,GNU C++17,OK,2022-08-27 20:48:30
169321762,jahirul,Mocha and Hiking,GNU C++17,OK,2022-08-22 16:31:37
169321425,jahirul,Mocha and Hiking,GNU C++17,WRONG_ANSWER,2022-08-22 16:27:42
169321377,jahirul,Mocha and Hiking,GNU C++17,RUNTIME_ERROR,2022-08-22 16:27:10
169320842,jahirul,Mocha and Hiking,GNU C++17,WRONG_ANSWER,2022-08-22 16:20:26
169320736,jahirul,Mocha and Hiking,GNU C++17,WRONG_ANSWER,2022-08-22 16:19:27
169185411,jahirul,Difference Operations,GNU C++17,OK,2022-08-21 05:55:23
169184594,jahirul,Beautiful Array,GNU C++17,OK,2022-08-21 05:30:25
169184414,jahirul,Beautiful Array,GNU C++17,WRONG_ANSWER,2022-08-21 05:25:16
169112046,jahirul,Crossmarket,GNU C++17,OK,2022-08-20 21:01:22
169041854,jahirul,Interesting Sum,GNU C++17,OK,2022-08-20 12:09:05
169041762,jahirul,Interesting Sum,GNU C++17,RUNTIME_ERROR,2022-08-20 12:07:54
169037423,jahirul,Mark the Dust Sweeper,GNU C++17,OK,2022-08-20 11:07:05
169037336,jahirul,Mark the Dust Sweeper,GNU C++17,RUNTIME_ERROR,2022-08-20 11:05:48
169037284,jahirul,Mark the Dust Sweeper,GNU C++17,WRONG_ANSWER,2022-08-20 11:04:57
168869032,jahirul,Burenka Plays with Fractions,GNU C++17,OK,2022-08-18 22:40:28
168868257,jahirul,Burenka Plays with Fractions,GNU C++17,RUNTIME_ERROR,2022-08-18 22:37:38
168828427,jahirul,Difference of GCDs,GNU C++17,OK,2022-08-18 20:13:09
168825627,jahirul,Difference of GCDs,GNU C++17,TIME_LIMIT_EXCEEDED,2022-08-18 20:08:30
168825466,jahirul,Difference of GCDs,GNU C++17,TIME_LIMIT_EXCEEDED,2022-08-18 20:08:07
168804877,jahirul,Difference of GCDs,GNU C++17,WRONG_ANSWER,2022-08-18 19:15:23
168804813,jahirul,Difference of GCDs,GNU C++17,TIME_LIMIT_EXCEEDED,2022-08-18 19:14:49
168706319,jahirul,Build Permutation,GNU C++17,OK,2022-08-17 19:55:03
168470433,jahirul,Sort Zero,GNU C++17,OK,2022-08-16 13:06:54
168470341,jahirul,Sort Zero,GNU C++17,OK,2022-08-16 13:05:52
168463080,jahirul,Sort Zero,GNU C++17,MEMORY_LIMIT_EXCEEDED,2022-08-16 11:32:54
168446652,jahirul,Food Buying,GNU C++17,OK,2022-08-16 05:53:14
168380579,jahirul,Kuriyama Mirai's Stones,GNU C++17,OK,2022-08-15 18:37:04
168352781,jahirul,Construct the String,GNU C++17,OK,2022-08-15 14:20:50
168338125,jahirul,Borze,GNU C++17,OK,2022-08-15 11:17:18
168337142,jahirul,T-primes,GNU C++17,OK,2022-08-15 10:59:00
168336995,jahirul,T-primes,GNU C++17,OK,2022-08-15 10:55:57
168336925,jahirul,T-primes,GNU C++17,WRONG_ANSWER,2022-08-15 10:54:40
168336684,jahirul,T-primes,GNU C++17,WRONG_ANSWER,2022-08-15 10:50:28
168336275,jahirul,T-primes,GNU C++17,WRONG_ANSWER,2022-08-15 10:42:50
168336180,jahirul,T-primes,GNU C++17,WRONG_ANSWER,2022-08-15 10:41:20
168281450,jahirul,Lovely Palindromes,GNU C++17,OK,2022-08-14 20:42:07
168152563,jahirul,Sort Zero,GNU C++17,WRONG_ANSWER,2022-08-13 21:43:45
168150492,jahirul,Sort Zero,GNU C++17,WRONG_ANSWER,2022-08-13 21:39:32
168133174,jahirul,Woeful Permutation,GNU C++17,OK,2022-08-13 21:11:40
168122196,jahirul,Wonderful Permutation,GNU C++17,OK,2022-08-13 20:59:31
168100110,jahirul,Wonderful Permutation,GNU C++17,WRONG_ANSWER,2022-08-13 20:42:51
168075849,jahirul,Sum of Cubes,GNU C++17,OK,2022-08-13 18:12:03
168075619,jahirul,Sum of Cubes,GNU C++17,TIME_LIMIT_EXCEEDED,2022-08-13 18:09:30
168058428,jahirul,K-th Not Divisible by n,GNU C++17,OK,2022-08-13 15:19:25
168043853,jahirul,K-divisible Sum,GNU C++17,OK,2022-08-13 12:25:48
168043310,jahirul,K-divisible Sum,GNU C++17,WRONG_ANSWER,2022-08-13 12:17:56
168039056,jahirul,Road To Zero,GNU C++17,OK,2022-08-13 11:08:55
168034828,jahirul,Product of Three Numbers,GNU C++17,TIME_LIMIT_EXCEEDED,2022-08-13 09:43:05
168029755,jahirul,Product of Three Numbers,GNU C++17,WRONG_ANSWER,2022-08-13 07:49:58
168027749,jahirul,Product of Three Numbers,GNU C++17,TIME_LIMIT_EXCEEDED,2022-08-13 06:55:04
168027567,jahirul,Product of Three Numbers,GNU C++17,TIME_LIMIT_EXCEEDED,2022-08-13 06:49:12
167984213,jahirul,Ordinary Numbers,GNU C++17,OK,2022-08-12 20:37:08
167983767,jahirul,Same Differences,GNU C++17,OK,2022-08-12 20:33:18
167983483,jahirul,Same Differences,GNU C++17,OK,2022-08-12 20:31:02
167970920,jahirul,Same Differences,GNU C++17,TIME_LIMIT_EXCEEDED,2022-08-12 18:40:53
167969575,jahirul,Ternary XOR,GNU C++17,OK,2022-08-12 18:26:17
167968523,jahirul,Ternary XOR,GNU C++17,RUNTIME_ERROR,2022-08-12 18:15:10
167968297,jahirul,Ternary XOR,GNU C++17,RUNTIME_ERROR,2022-08-12 18:12:41
167967498,jahirul,Ternary XOR,GNU C++17,WRONG_ANSWER,2022-08-12 18:03:58
167962910,jahirul,Xenia and Ringroad,GNU C++17,OK,2022-08-12 17:09:31
167934096,jahirul,Cut Ribbon,GNU C++17,WRONG_ANSWER,2022-08-12 11:01:11
167934008,jahirul,Cut Ribbon,GNU C++17,WRONG_ANSWER,2022-08-12 10:59:55
167932903,jahirul,Cut Ribbon,GNU C++17,WRONG_ANSWER,2022-08-12 10:42:52
167932604,jahirul,Cut Ribbon,GNU C++17,WRONG_ANSWER,2022-08-12 10:38:34
167810621,jahirul,Buttons,GNU C++17,OK,2022-08-11 06:20:57
167778352,jahirul,Pashmak and Flowers,GNU C++17,OK,2022-08-10 22:11:11
167777811,jahirul,Pashmak and Flowers,GNU C++17,WRONG_ANSWER,2022-08-10 22:05:22
167777523,jahirul,Pashmak and Flowers,GNU C++17,WRONG_ANSWER,2022-08-10 22:02:44
167777019,jahirul,Pashmak and Flowers,GNU C++17,WRONG_ANSWER,2022-08-10 21:57:16
167776468,jahirul,Pashmak and Flowers,GNU C++17,WRONG_ANSWER,2022-08-10 21:51:00
167776019,jahirul,Pashmak and Flowers,GNU C++17,WRONG_ANSWER,2022-08-10 21:46:07
167775783,jahirul,Pashmak and Flowers,GNU C++17,WRONG_ANSWER,2022-08-10 21:43:32
167775312,jahirul,Pashmak and Flowers,GNU C++17,WRONG_ANSWER,2022-08-10 21:38:02
167768068,jahirul,Fence,GNU C++17,OK,2022-08-10 20:23:03
167767804,jahirul,Ilya and Queries,GNU C++17,TIME_LIMIT_EXCEEDED,2022-08-10 20:20:33
167767622,jahirul,Ilya and Queries,GNU C++17,OK,2022-08-10 20:19:03
167767565,jahirul,Ilya and Queries,GNU C++17,OK,2022-08-10 20:18:30
167767110,jahirul,Ilya and Queries,GNU C++17,OK,2022-08-10 20:14:16
167765791,jahirul,Ilya and Queries,GNU C++17,TIME_LIMIT_EXCEEDED,2022-08-10 20:03:04
167744786,jahirul,Worms,GNU C++17,OK,2022-08-10 17:50:19
167726145,jahirul,Sort the Array,GNU C++17,OK,2022-08-10 14:49:26
167713045,jahirul,Sort the Array,GNU C++17,WRONG_ANSWER,2022-08-10 12:34:01
167712685,jahirul,Sort the Array,GNU C++17,WRONG_ANSWER,2022-08-10 12:29:41
167709408,jahirul,Interesting drink,GNU C++17,OK,2022-08-10 11:47:36
167708043,jahirul,Interesting drink,GNU C++17,TIME_LIMIT_EXCEEDED,2022-08-10 11:25:05
167707900,jahirul,Interesting drink,GNU C++17,WRONG_ANSWER,2022-08-10 11:22:56
167656685,jahirul,Fence,GNU C++17,OK,2022-08-09 22:00:14
167656562,jahirul,Fence,GNU C++17,WRONG_ANSWER,2022-08-09 21:59:04
167654441,jahirul,Fence,GNU C++17,WRONG_ANSWER,2022-08-09 21:39:41
167647775,jahirul,Fence,GNU C++17,WRONG_ANSWER,2022-08-09 20:37:54
167647087,jahirul,Fence,GNU C++17,WRONG_ANSWER,2022-08-09 20:32:02
167646857,jahirul,Fence,GNU C++17,WRONG_ANSWER,2022-08-09 20:30:11
167646619,jahirul,Fence,GNU C++17,WRONG_ANSWER,2022-08-09 20:28:10
167646239,jahirul,Fence,GNU C++17,WRONG_ANSWER,2022-08-09 20:24:51
167644067,jahirul,A and B and Compilation Errors,GNU C++17,OK,2022-08-09 20:05:25
167635458,jahirul,A and B and Compilation Errors,GNU C++17,WRONG_ANSWER,2022-08-09 18:47:41
167573063,jahirul,Vanya and Lanterns,GNU C++17,OK,2022-08-09 06:57:56
167571348,jahirul,Vanya and Lanterns,GNU C++17,WRONG_ANSWER,2022-08-09 06:08:27
167569639,jahirul,Flipping Game,GNU C++17,OK,2022-08-09 05:16:46
167569455,jahirul,Flipping Game,GNU C++17,WRONG_ANSWER,2022-08-09 05:11:40
167457127,jahirul,Unique Bid Auction,GNU C++17,OK,2022-08-08 05:26:02
167405573,jahirul,Same Parity Summands,GNU C++17,OK,2022-08-07 20:15:48
167394756,jahirul,Same Parity Summands,GNU C++17,WRONG_ANSWER,2022-08-07 18:35:15
167394721,jahirul,Same Parity Summands,Python 3,COMPILATION_ERROR,2022-08-07 18:34:50
167387139,jahirul,Two-gram,Python 3,OK,2022-08-07 17:23:18
167380599,jahirul,Two-gram,GNU C++17,OK,2022-08-07 16:18:53
167334267,jahirul,Optimal Reduction,GNU C++17,OK,2022-08-07 05:45:50
167291078,jahirul,Optimal Reduction,GNU C++17,WRONG_ANSWER,2022-08-06 22:05:59
167273446,jahirul,Optimal Reduction,GNU C++17,WRONG_ANSWER,2022-08-06 21:30:10
167246081,jahirul,Traveling Salesman Problem,GNU C++17,OK,2022-08-06 20:52:21
167198767,jahirul,Median Maximization,GNU C++17,OK,2022-08-06 15:00:14
167189910,jahirul,Digit Game,GNU C++17,OK,2022-08-06 13:27:27
167189000,jahirul,Digit Game,GNU C++17,WRONG_ANSWER,2022-08-06 13:16:43
167186012,jahirul,Arithmetic Array,GNU C++17,OK,2022-08-06 12:42:11
167066074,jahirul,Three Doors,GNU C++17,OK,2022-08-05 12:32:35
167062953,jahirul,Permutation Chain,GNU C++17,OK,2022-08-05 11:59:26
166941905,jahirul,2-3 Moves,GNU C++17,OK,2022-08-04 20:44:02
166843922,jahirul,Arrival of the General,GNU C++17,OK,2022-08-04 00:35:28
166724518,jahirul,Everyone Loves to Sleep,GNU C++17,OK,2022-08-02 23:25:49
166601560,jahirul,Everyone Loves to Sleep,GNU C++17,WRONG_ANSWER,2022-08-01 22:58:36
166593051,jahirul,Everyone Loves to Sleep,GNU C++17,WRONG_ANSWER,2022-08-01 22:38:56
166568579,jahirul,Minimum  Varied Number,GNU C++17,OK,2022-08-01 21:52:16
166554298,jahirul,Remove Prefix,GNU C++17,OK,2022-08-01 21:29:57
166538475,jahirul,Everyone Loves to Sleep,GNU C++17,WRONG_ANSWER,2022-08-01 21:09:59
166533480,jahirul,Everyone Loves to Sleep,GNU C++17,WRONG_ANSWER,2022-08-01 21:04:42
166073432,jahirul,Perfect Permutation,GNU C++17,OK,2022-07-29 11:18:05
165305878,jahirul,Free Ice Cream,GNU C++17,OK,2022-07-22 18:12:27
164155676,jahirul,Special Permutation,GNU C++17,WRONG_ANSWER,2022-07-14 19:57:32
163977915,jahirul,Cypher,GNU C++17,OK,2022-07-13 09:54:18
163890776,jahirul,ICPC Balloons,GNU C++17,OK,2022-07-12 21:40:02
163866777,jahirul,YES or YES?,GNU C++17,OK,2022-07-12 21:12:06
163855557,jahirul,YES or YES?,GNU C++17,WRONG_ANSWER,2022-07-12 21:02:04
163779099,jahirul,Display The Number,GNU C++17,OK,2022-07-12 16:24:48
163776640,jahirul,Magic Numbers,GNU C++17,OK,2022-07-12 16:02:38
163773588,jahirul,Level Statistics,GNU C++17,OK,2022-07-12 15:37:01
163697981,jahirul,Crazy Computer,GNU C++17,OK,2022-07-11 22:18:10
163563988,jahirul,Train and Queries,GNU C++17,TIME_LIMIT_EXCEEDED,2022-07-10 22:23:34
163563076,jahirul,Train and Queries,GNU C++17,WRONG_ANSWER,2022-07-10 22:21:53
163548878,jahirul,Polycarp Writes a String from Memory,GNU C++17,OK,2022-07-10 21:57:57
163534547,jahirul,Round Down the Price,GNU C++17,OK,2022-07-10 21:36:57
163387050,jahirul,Life of a Flower,GNU C++17,OK,2022-07-09 20:33:21
163386857,jahirul,Life of a Flower,GNU C++17,WRONG_ANSWER,2022-07-09 20:30:45
163378133,jahirul,Copy-paste,GNU C++17,OK,2022-07-09 18:33:00
163374842,jahirul,Game 23,GNU C++17,OK,2022-07-09 17:47:14
163291441,jahirul,Permutation,GNU C++17,WRONG_ANSWER,2022-07-08 22:16:53
163285334,jahirul,Grass Field,GNU C++17,OK,2022-07-08 22:02:54
163214252,jahirul,Stable Arrangement of Rooks,GNU C++17,OK,2022-07-08 20:12:58
163214010,jahirul,Stable Arrangement of Rooks,GNU C++17,WRONG_ANSWER,2022-07-08 20:09:32
163191429,jahirul,Space Navigation ,GNU C++17,OK,2022-07-08 15:29:21
163156576,jahirul,Find The Array,GNU C++17,OK,2022-07-08 06:57:01
163156447,jahirul,Find The Array,GNU C++17,WRONG_ANSWER,2022-07-08 06:54:54
163156404,jahirul,Find The Array,GNU C++17,WRONG_ANSWER,2022-07-08 06:53:19
163048001,jahirul,Berland Poker,GNU C++17,OK,2022-07-07 05:45:09
163015490,jahirul,Construct a Rectangle,GNU C++17,OK,2022-07-06 20:47:21
163014168,jahirul,Construct a Rectangle,GNU C++17,WRONG_ANSWER,2022-07-06 20:31:54
163013993,jahirul,Construct a Rectangle,GNU C++17,WRONG_ANSWER,2022-07-06 20:29:54
163010094,jahirul,Minimum Product,GNU C++17,OK,2022-07-06 19:49:30
163000894,jahirul,Bad Ugly Numbers,GNU C++17,OK,2022-07-06 18:24:51
163000464,jahirul,Bad Ugly Numbers,GNU C++17,WRONG_ANSWER,2022-07-06 18:21:01
162964480,jahirul,PizzaForces,GNU C++17,OK,2022-07-06 12:09:05
162960971,jahirul,Two Regular Polygons,GNU C++17,OK,2022-07-06 11:24:07
162960884,jahirul,Two Regular Polygons,GNU C++17,WRONG_ANSWER,2022-07-06 11:22:51
162960406,jahirul,Two Regular Polygons,GNU C++17,OK,2022-07-06 11:15:48
162960342,jahirul,Two Regular Polygons,GNU C++17,OK,2022-07-06 11:14:58
162959429,jahirul,Two Regular Polygons,GNU C++17,OK,2022-07-06 11:02:06
162956178,jahirul,Middle Class,GNU C++17,OK,2022-07-06 10:06:39
162955411,jahirul,Middle Class,GNU C++17,WRONG_ANSWER,2022-07-06 09:52:19
162955287,jahirul,Middle Class,GNU C++17,WRONG_ANSWER,2022-07-06 09:49:46
162944513,jahirul,Cinema Line,GNU C++17,OK,2022-07-06 06:14:34
162944101,jahirul,Cinema Line,GNU C++17,OK,2022-07-06 06:01:02
162944025,jahirul,Cinema Line,GNU C++17,WRONG_ANSWER,2022-07-06 05:58:56
162943956,jahirul,Cinema Line,GNU C++17,WRONG_ANSWER,2022-07-06 05:56:42
162943542,jahirul,Cinema Line,GNU C++17,WRONG_ANSWER,2022-07-06 05:41:55
162943495,jahirul,Cinema Line,GNU C++17,WRONG_ANSWER,2022-07-06 05:40:40
162854927,jahirul,ABC,GNU C++17,OK,2022-07-05 12:00:06
